RM,PTRATIO,LSTAT,RAD,ZN,MEDV
6.14,18.7,10.27,42.98,174.1913273,20.8
6.232,18.7,12.34,43.624,66.77613111,21.2
5.874,18.7,9.1,41.118,89.81558768,20.3
6.727,19,5.29,47.089,54.93155582,28
6.619,19,7.22,46.333,31.75002627,23.9
6.302,19,6.72,44.114,58.26933113,24.8
6.167,19,7.51,43.169,16.42109311,22.9
6.389,18.5,9.62,44.723,93.51332508,23.9
6.63,18.5,6.53,46.41,118.8107408,26.6
6.015,18.5,12.86,42.105,121.2788308,22.5
6.121,18.5,8.44,42.847,38.11785146,22.2
7.007,17.8,5.5,49.049,132.2653398,23.6
7.079,17.8,5.7,49.553,38.53462766,28.7
6.417,17.8,8.81,44.919,36.18218429,22.6
6.405,17.8,8.2,44.835,42.6376662,22
6.442,18.2,8.16,45.094,38.71379391,22.9
6.211,18.2,6.21,43.477,90.27769518,25
6.249,18.2,10.59,43.743,71.77752699,20.6
6.625,18,6.65,46.375,173.6080735,28.4
6.163,18,11.34,43.141,100.883294,21.4
8.069,18,4.21,56.483,18.00394042,38.7
7.82,18,3.57,54.74,202.6547695,43.8
7.416,18,6.19,51.912,40.89378411,33.2
6.727,20.9,9.42,47.089,73.43251195,27.5
6.781,20.9,7.67,47.467,8.196743256,26.5
6.405,20.9,10.63,44.835,168.651702,18.6
6.137,20.9,13.44,42.959,206.1711328,19.3
6.167,20.9,12.33,43.169,182.0937155,20.1
5.851,20.9,16.47,40.957,124.9131545,19.5
5.836,20.9,18.66,40.852,93.63161468,19.5
6.127,20.9,14.09,42.889,17.155872,20.4
6.474,20.9,12.27,45.318,7.836912842,19.8
6.229,20.9,15.55,43.603,61.03692083,19.4
6.195,20.9,13,43.365,56.88755588,21.7
6.715,17.8,10.16,47.005,15.71971883,22.8
5.913,17.8,16.21,41.391,106.850575,18.8
6.092,17.8,17.09,42.644,31.25221672,18.7
6.254,17.8,10.45,43.778,1.712288861,18.5
5.928,17.8,15.76,41.496,13.23322746,18.3
6.176,17.8,12.04,43.232,44.46854076,21.2
6.021,17.8,10.3,42.147,40.17385566,19.2
5.872,17.8,15.37,41.104,251.4190217,20.4
5.731,17.8,13.61,40.117,78.84927409,19.3
5.87,19.1,14.37,41.09,11.40166226,22
6.004,19.1,14.27,42.028,47.4136975,20.3
5.961,19.1,17.93,41.727,68.49161801,20.5
5.856,19.1,25.41,40.992,53.97704395,17.3
5.879,19.1,17.58,41.153,38.04489465,18.8
5.986,19.1,14.81,41.902,144.30567,21.4
5.613,19.1,27.26,39.291,80.92988146,15.7
5.693,21.2,17.19,39.851,147.1231058,16.2
6.431,21.2,15.39,45.017,42.54220661,18
5.637,21.2,18.34,39.459,96.41927311,14.3
6.458,21.2,12.6,45.206,97.04165163,19.2
6.326,21.2,12.26,44.282,52.23135595,19.6
6.372,21.2,11.12,44.604,87.47789617,23
5.822,21.2,15.03,40.754,15.80663911,18.4
5.757,21.2,17.31,40.299,156.5688598,15.6
6.335,21.2,16.96,44.345,135.2757772,18.1
5.942,21.2,16.9,41.594,9.252817536,17.4
6.454,21.2,14.59,45.178,78.25232884,17.1
5.857,21.2,21.32,40.999,111.0024394,13.3
6.151,21.2,18.46,43.057,149.9946536,17.8
6.174,21.2,24.16,43.218,13.23808472,14
5.019,21.2,34.41,35.133,125.7799692,14.4
5.403,14.7,26.82,37.821,109.3292768,13.4
5.468,14.7,26.42,38.276,97.5221271,15.6
4.903,14.7,29.29,34.321,120.0285821,11.8
6.13,14.7,27.8,42.91,10.72833641,13.8
5.628,14.7,16.65,39.396,61.94992439,15.6
4.926,14.7,29.53,34.482,109.0968508,14.6
5.186,14.7,28.32,36.302,44.20348765,17.8
5.597,14.7,21.45,39.179,128.0793196,15.4
6.122,14.7,14.1,42.854,65.87834973,21.5
5.404,14.7,13.28,37.828,20.10294231,19.6
5.012,14.7,12.12,35.084,45.00196105,15.3
5.709,14.7,15.79,39.963,1.306882393,19.4
6.129,14.7,15.12,42.903,84.64820913,17
6.152,14.7,15.02,43.064,48.27183832,15.6
5.272,14.7,16.14,36.904,93.31208603,13.1
6.943,14.7,4.59,48.601,29.17006236,41.3
6.066,14.7,6.43,42.462,21.33936534,24.3
6.51,14.7,7.39,45.57,4.07054158,23.3
6.25,14.7,5.5,43.75,22.80282806,27
7.489,14.7,1.73,52.423,138.1104782,50
7.802,14.7,1.92,54.614,26.50641824,50
8.375,14.7,3.32,58.625,106.2073199,50
5.854,14.7,11.64,40.978,5.854821111,22.7
6.101,14.7,9.81,42.707,56.46005436,25
7.929,14.7,3.7,55.503,66.26508378,50
5.877,14.7,12.14,41.139,120.9073836,23.8
6.319,14.7,11.1,44.233,45.48214832,23.8
6.402,14.7,11.32,44.814,49.35713315,22.3
5.875,14.7,14.43,41.125,22.16206235,17.4
5.88,14.7,12.03,41.16,57.46441109,19.1
5.572,16.6,14.69,39.004,13.22702261,23.1
6.416,16.6,9.04,44.912,112.863979,23.6
5.859,16.6,9.64,41.013,5.600588761,22.6
6.546,16.6,5.33,45.822,70.62658757,29.4
6.02,16.6,10.11,42.14,6.055090688,23.2
6.315,16.6,6.29,44.205,59.02485223,24.6
6.86,16.6,6.92,48.02,61.96072432,29.9
6.98,17.8,5.04,48.86,119.0280075,37.2
7.765,17.8,7.56,54.355,243.5356085,39.8
6.144,17.8,9.45,43.008,73.20055744,36.2
7.155,17.8,4.82,50.085,34.68124069,37.9
6.563,17.8,5.68,45.941,72.8087034,32.5
5.604,17.8,13.98,39.228,57.11596699,26.4
6.153,17.8,13.15,43.071,177.757427,29.6
7.831,17.8,4.45,54.817,10.33787851,50
6.782,15.2,6.68,47.474,193.4847736,32
6.556,15.2,4.56,45.892,93.06730032,29.8
7.185,15.2,5.39,50.295,15.08346414,34.9
6.951,15.2,5.1,48.657,46.81990574,37
6.739,15.2,4.69,47.173,36.52866817,30.5
7.178,15.2,2.87,50.246,25.81345086,36.4
6.8,15.6,5.03,47.6,18.53598662,31.1
6.604,15.6,4.38,46.228,89.45650564,29.1
7.875,14.4,2.97,55.125,45.44247346,50
7.287,12.6,4.08,51.009,28.30160854,33.3
7.107,12.6,8.61,49.749,109.650167,30.3
7.274,12.6,6.62,50.918,101.7796853,34.6
6.975,17,4.56,48.825,30.25549103,34.9
7.135,17,4.45,49.945,126.0927614,32.9
6.162,14.7,7.43,43.134,24.01510758,24.1
7.61,14.7,3.11,53.27,78.3437891,42.3
7.853,14.7,3.81,54.971,19.30200734,48.5
8.034,14.7,2.88,56.238,130.7010002,50
5.891,18.6,10.87,41.237,76.55996766,22.6
6.326,18.6,10.97,44.282,78.25534664,24.4
5.783,18.6,18.06,40.481,6.866255941,22.5
6.064,18.6,14.66,42.448,38.32164525,24.4
5.344,18.6,23.09,37.408,31.14288728,20
5.96,18.6,17.27,41.72,75.2057378,21.7
5.404,18.6,23.98,37.828,95.71917686,19.3
5.807,18.6,16.03,40.649,44.15038934,22.4
6.375,18.6,9.38,44.625,55.3145772,28.1
5.412,18.6,29.55,37.884,36.71881178,23.7
6.182,18.6,9.47,43.274,114.469696,25
5.888,16.4,13.51,41.216,92.74839474,23.3
6.642,16.4,9.69,46.494,104.7734829,28.7
5.951,16.4,17.92,41.657,32.90956789,21.5
6.373,16.4,10.5,44.611,23.96739836,23
6.951,17.4,9.71,48.657,56.78365773,26.7
6.164,17.4,21.46,43.148,156.4609931,21.7
6.879,17.4,9.93,48.153,2.971799484,27.5
6.618,17.4,7.6,46.326,60.71778207,30.1
8.266,17.4,4.14,57.862,96.02901561,44.8
8.725,17.4,4.63,61.075,12.55365989,50
8.04,17.4,3.13,56.28,48.25637803,37.6
7.163,17.4,6.36,50.141,172.0410012,31.6
7.686,17.4,3.92,53.802,171.1623054,46.7
6.552,17.4,3.76,45.864,239.1952559,31.5
5.981,17.4,11.65,41.867,93.72422061,24.3
7.412,17.4,5.25,51.884,128.384149,31.7
8.337,17.4,2.47,58.359,16.25964211,41.7
8.247,17.4,3.95,57.729,38.90302925,48.3
6.726,17.4,8.05,47.082,68.49931794,29
6.086,17.4,10.88,42.602,49.18194586,24
6.631,17.4,9.54,46.417,19.88014385,25.1
7.358,17.4,4.73,51.506,30.83049315,31.5
6.481,16.6,6.36,45.367,197.0998999,23.7
6.606,16.6,7.37,46.242,82.21263541,23.3
6.897,16.6,11.38,48.279,6.73233342,22
6.095,16.6,12.4,42.665,41.56282849,20.1
6.358,16.6,11.22,44.506,84.17992972,22.2
6.393,16.6,5.19,44.751,59.35069795,23.7
5.593,19.1,12.5,39.151,29.9008813,17.6
5.605,19.1,18.46,39.235,62.03261561,18.5
6.108,19.1,9.16,42.756,205.4749727,24.3
6.226,19.1,10.15,43.582,25.18039562,20.5
6.433,19.1,9.52,45.031,266.3587805,24.5
6.718,19.1,6.56,47.026,185.782435,26.2
6.487,19.1,5.9,45.409,126.4711325,24.4
6.438,19.1,3.59,45.066,196.8842412,24.8
6.957,19.1,3.53,48.699,56.49155901,29.6
8.259,19.1,3.54,57.813,131.721381,42.8
6.108,16.4,6.57,42.756,20.21112963,21.9
5.876,16.4,9.25,41.132,105.8401045,20.9
7.454,15.9,3.11,52.178,43.99701704,44
8.704,13,5.12,60.928,147.7886747,50
7.333,13,7.79,51.331,122.8258567,36
6.842,13,6.9,47.894,184.6684085,30.1
7.203,13,9.59,50.421,74.76041683,33.8
7.52,13,7.26,52.64,25.63079451,43.1
8.398,13,5.91,58.786,68.39257716,48.8
7.327,13,11.25,51.289,11.82127097,31
7.206,13,8.1,50.442,35.23458586,36.5
5.56,13,10.45,38.92,23.46068522,22.8
7.014,13,14.79,49.098,113.8217716,30.7
8.297,13,7.44,58.079,30.10318805,50
7.47,13,3.16,52.29,103.6697781,43.5
5.92,18.6,13.65,41.44,2.025357146,20.7
5.856,18.6,13,40.992,118.5631353,21.1
6.24,18.6,6.59,43.68,33.26218367,25.2
6.538,18.6,7.73,45.766,101.9893077,24.4
7.691,18.6,6.58,53.837,134.598729,35.2
6.758,17.6,3.53,47.306,4.524993105,32.4
6.854,17.6,2.98,47.978,56.97857355,32
7.267,17.6,6.05,50.869,104.8041405,33.2
6.826,17.6,4.16,47.782,147.6550983,33.1
6.482,17.6,7.19,45.374,59.11762864,29.1
6.812,14.9,4.85,47.684,25.90086705,35.1
7.82,14.9,3.76,54.74,135.68368,45.4
6.968,14.9,4.59,48.776,100.5650159,35.4
7.645,14.9,3.01,53.515,104.4222457,46
7.923,13.6,3.16,55.461,25.93215834,50
7.088,15.3,7.85,49.616,61.92021662,32.2
6.453,15.3,8.23,45.171,35.10141004,22
6.23,18.2,12.93,43.61,213.6198518,20.1
6.209,16.6,7.14,43.463,61.59965548,23.2
6.315,16.6,7.6,44.205,151.3936469,22.3
6.565,16.6,9.51,45.955,8.555419839,24.8
6.861,19.2,3.33,48.027,50.25996184,28.5
7.148,19.2,3.56,50.036,70.58252316,37.3
6.63,19.2,4.7,46.41,11.96936635,27.9
6.127,16,8.58,42.889,8.569474964,23.9
6.009,16,10.4,42.063,48.20516192,21.7
6.678,16,6.27,46.746,47.59708919,28.6
6.549,16,7.39,45.843,211.7040662,27.1
5.79,16,15.84,40.53,9.902681376,20.3
6.345,14.8,4.97,44.415,80.667107,22.5
7.041,14.8,4.74,49.287,101.6919097,29
6.871,14.8,6.07,48.097,93.33982083,24.8
6.59,16.1,9.5,46.13,147.2505222,22
6.495,16.1,8.67,45.465,98.495987,26.4
6.982,16.1,4.86,48.874,74.66853673,33.1
7.236,18.4,6.93,50.652,31.54091801,36.1
6.616,18.4,8.93,46.312,91.43307744,28.4
7.42,18.4,6.47,51.94,123.0368363,33.4
6.849,18.4,7.53,47.943,2.658726973,28.2
6.635,18.4,4.54,46.445,90.97169798,22.8
5.972,18.4,9.97,41.804,5.925665569,20.3
4.973,18.4,12.64,34.811,26.80286878,16.1
6.122,18.4,5.98,42.854,49.42151366,22.1
6.023,18.4,11.72,42.161,45.91371306,19.4
6.266,18.4,7.9,43.862,18.80111088,21.6
6.567,18.4,9.28,45.969,242.5649174,23.8
5.705,18.4,11.5,39.935,87.05450169,16.2
5.914,18.4,18.33,41.398,56.17634925,17.8
5.782,18.4,15.94,40.474,54.97101325,19.8
6.382,18.4,10.36,44.674,239.8341672,23.1
6.113,18.4,12.73,42.791,45.73207771,21
6.426,19.6,7.2,44.982,65.50739061,23.8
6.376,19.6,6.87,44.632,61.34789906,23.1
6.041,19.6,7.7,42.287,1.869051284,20.4
5.708,19.6,11.74,39.956,103.8045654,18.5
6.415,19.6,6.12,44.905,54.58622106,25
6.431,19.6,5.08,45.017,66.93986403,24.6
6.312,19.6,6.15,44.184,136.4795887,23
6.083,19.6,12.79,42.581,97.88507974,22.2
5.868,16.9,9.97,41.076,6.626853115,19.3
6.333,16.9,7.34,44.331,35.7878383,22.6
6.144,16.9,9.09,43.008,137.4433787,19.8
5.706,16.9,12.43,39.942,85.0664976,17.1
6.031,16.9,7.83,42.217,85.81547591,19.4
6.316,20.2,5.68,44.212,9.955278417,22.2
6.31,20.2,6.75,44.17,210.4033069,20.7
6.037,20.2,8.01,42.259,59.41854944,21.1
5.869,20.2,9.8,41.083,60.19858746,19.5
5.895,20.2,10.56,41.265,2.312093422,18.5
6.059,20.2,8.51,42.413,76.86417902,20.6
5.985,20.2,9.74,41.895,74.28174207,19
5.968,20.2,9.29,41.776,9.630535146,18.7
7.241,15.5,5.49,50.687,99.52307251,32.7
6.54,15.9,8.65,45.78,123.1262382,16.5
6.696,17.6,7.18,46.872,183.7654385,23.9
6.874,17.6,4.61,48.118,158.9752374,31.2
6.014,18.8,10.53,42.098,203.1848501,17.5
5.898,18.8,12.67,41.286,235.5228563,17.2
6.516,17.9,6.36,45.612,76.40443778,23.1
6.635,17,5.99,46.445,211.465262,24.5
6.939,19.7,5.89,48.573,9.035346426,26.6
6.49,19.7,5.98,45.43,88.4818971,22.9
6.579,18.3,5.49,46.053,68.83752153,24.1
5.884,18.3,7.79,41.188,79.5719569,18.6
6.728,17,4.5,47.096,103.7747186,30.1
5.663,22,8.05,39.641,9.819926258,18.2
5.936,22,5.57,41.552,152.3726636,20.6
6.212,20.2,17.6,43.484,37.42327382,17.8
6.395,20.2,13.27,44.765,123.9007181,21.7
6.127,20.2,11.48,42.889,6.553019421,22.7
6.112,20.2,12.67,42.784,68.03076931,22.6
6.398,20.2,7.79,44.786,51.35565829,25
6.251,20.2,14.19,43.757,5.369032984,19.9
5.362,20.2,10.19,37.534,213.0117071,20.8
5.803,20.2,14.64,40.621,81.96008873,16.8
8.78,20.2,5.29,61.46,9.89883295,21.9
3.561,20.2,7.12,24.927,146.1731584,27.5
4.963,20.2,14,34.741,162.6998071,21.9
3.863,20.2,13.33,27.041,66.04376953,23.1
4.97,20.2,3.26,34.79,141.7104551,50
6.683,20.2,3.73,46.781,25.32307243,50
7.016,20.2,2.96,49.112,45.0423304,50
6.216,20.2,9.53,43.512,130.1365594,50
5.875,20.2,8.88,41.125,29.3317318,50
4.906,20.2,34.77,34.342,56.92161622,13.8
4.138,20.2,37.97,28.966,140.5686518,13.8
7.313,20.2,13.44,51.191,29.31356973,15
6.649,20.2,23.24,46.543,11.95459813,13.9
6.794,20.2,21.24,47.558,70.00251998,13.3
6.38,20.2,23.69,44.66,157.701611,13.1
6.223,20.2,21.78,43.561,28.75837719,10.2
6.968,20.2,17.21,48.776,24.02021469,10.4
6.545,20.2,21.08,45.815,62.24449738,10.9
5.536,20.2,23.6,38.752,96.851909,11.3
5.52,20.2,24.56,38.64,87.45299528,12.3
4.368,20.2,30.63,30.576,26.22853438,8.8
5.277,20.2,30.81,36.939,14.50163852,7.2
4.652,20.2,28.28,32.564,119.7550105,10.5
5,20.2,31.99,35,92.47393069,7.4
4.88,20.2,30.62,34.16,78.38466111,10.2
5.39,20.2,20.85,37.73,181.5068373,11.5
5.713,20.2,17.11,39.991,81.18482114,15.1
6.051,20.2,18.76,42.357,98.89301173,23.2
5.036,20.2,25.68,35.252,0.738261346,9.7
6.193,20.2,15.17,43.351,20.37188489,13.8
5.887,20.2,16.35,41.209,69.67430682,12.7
6.471,20.2,17.12,45.297,62.50242014,13.1
6.405,20.2,19.37,44.835,46.32039251,12.5
5.747,20.2,19.92,40.229,75.81298478,8.5
5.453,20.2,30.59,38.171,50.63998517,5
5.852,20.2,29.97,40.964,18.0017583,6.3
5.987,20.2,26.77,41.909,116.9020182,5.6
6.343,20.2,20.32,44.401,18.03976136,7.2
6.404,20.2,20.31,44.828,1.628538936,12.1
5.349,20.2,19.77,37.443,97.95209058,8.3
5.531,20.2,27.38,38.717,20.06087449,8.5
5.683,20.2,22.98,39.781,14.74760466,5
4.138,20.2,23.34,28.966,101.9876562,11.9
5.608,20.2,12.13,39.256,55.5248269,27.9
5.617,20.2,26.4,39.319,26.99958586,17.2
6.852,20.2,19.78,47.964,206.1480466,27.5
5.757,20.2,10.11,40.299,51.67275202,15
6.657,20.2,21.22,46.599,51.7820438,17.2
4.628,20.2,34.37,32.396,17.64051115,17.9
5.155,20.2,20.08,36.085,109.2419273,16.3
4.519,20.2,36.98,31.633,118.6317162,7
6.434,20.2,29.05,45.038,33.83674759,7.2
6.782,20.2,25.79,47.474,153.375814,7.5
5.304,20.2,26.64,37.128,37.7797768,10.4
5.957,20.2,20.62,41.699,95.32299645,8.8
6.824,20.2,22.74,47.768,49.01434762,8.4
6.411,20.2,15.02,44.877,31.35620923,16.7
6.006,20.2,15.7,42.042,26.38049214,14.2
5.648,20.2,14.1,39.536,79.2182333,20.8
6.103,20.2,23.29,42.721,74.40953476,13.4
5.565,20.2,17.16,38.955,28.0556033,11.7
5.896,20.2,24.39,41.272,321.6937807,8.3
5.837,20.2,15.69,40.859,193.4769208,10.2
6.202,20.2,14.52,43.414,29.87578632,10.9
6.193,20.2,21.52,43.351,38.29812459,11
6.38,20.2,24.08,44.66,45.43874886,9.5
6.348,20.2,17.64,44.436,15.64591976,14.5
6.833,20.2,19.69,47.831,26.12640282,14.1
6.425,20.2,12.03,44.975,6.144795452,16.1
6.436,20.2,16.22,45.052,43.4895235,14.3
6.208,20.2,15.17,43.456,110.3665657,11.7
6.629,20.2,23.27,46.403,45.87821783,13.4
6.461,20.2,18.05,45.227,29.41728413,9.6
6.152,20.2,26.45,43.064,19.47765593,8.7
5.935,20.2,34.02,41.545,159.7672478,8.4
5.627,20.2,22.88,39.389,309.5442111,12.8
5.818,20.2,22.11,40.726,75.579575,10.5
6.406,20.2,19.52,44.842,87.23567569,17.1
6.219,20.2,16.59,43.533,105.2990665,18.4
6.485,20.2,18.85,45.395,97.55996109,15.4
5.854,20.2,23.79,40.978,11.21081457,10.8
6.459,20.2,23.98,45.213,34.54225921,11.8
6.341,20.2,17.79,44.387,15.48786283,14.9
6.251,20.2,16.44,43.757,130.6842328,12.6
6.185,20.2,18.13,43.295,152.571169,14.1
6.417,20.2,19.31,44.919,95.86329138,13
6.749,20.2,17.44,47.243,98.61721475,13.4
6.655,20.2,17.73,46.585,23.71892374,15.2
6.297,20.2,17.27,44.079,48.57890343,16.1
7.393,20.2,16.74,51.751,6.116390272,17.8
6.728,20.2,18.71,47.096,63.99173947,14.9
6.525,20.2,18.13,45.675,71.53234514,14.1
5.976,20.2,19.01,41.832,18.14139595,12.7
5.936,20.2,16.94,41.552,30.25943857,13.5
6.301,20.2,16.23,44.107,0.217410769,14.9
6.081,20.2,14.7,42.567,35.15204261,20
6.701,20.2,16.42,46.907,14.48697439,16.4
6.376,20.2,14.65,44.632,21.40713863,17.7
6.317,20.2,13.99,44.219,65.4142166,19.5
6.513,20.2,10.29,45.591,138.558144,20.2
6.209,20.2,13.22,43.463,60.51278579,21.4
5.759,20.2,14.13,40.313,275.5394434,19.9
5.952,20.2,17.15,41.664,66.2703349,19
6.003,20.2,21.32,42.021,64.39253081,19.1
5.926,20.2,18.13,41.482,93.57329569,19.1
5.713,20.2,14.76,39.991,142.6472661,20.1
6.167,20.2,16.29,43.169,176.6362356,19.9
6.229,20.2,12.87,43.603,3.97514473,19.6
6.437,20.2,14.36,45.059,150.2625352,23.2
6.98,20.2,11.66,48.86,42.49628389,29.8
5.427,20.2,18.14,37.989,64.92886938,13.8
6.162,20.2,24.1,43.134,157.0453596,13.3
6.484,20.2,18.68,45.388,219.1048221,16.7
5.304,20.2,24.91,37.128,80.70930439,12
6.185,20.2,18.03,43.295,38.68483928,14.6
6.229,20.2,13.11,43.603,74.29249734,21.4
6.242,20.2,10.74,43.694,162.4815749,23
6.75,20.2,7.74,47.25,136.8024715,23.7
7.061,20.2,7.01,49.427,140.8839473,25
5.762,20.2,10.42,40.334,88.21662749,21.8
5.871,20.2,13.34,41.097,34.65593092,20.6
6.312,20.2,10.58,44.184,84.28394285,21.2
6.114,20.2,14.98,42.798,55.07302748,19.1
5.905,20.2,11.45,41.335,0.508856404,20.6
5.454,20.1,18.06,38.178,87.73206446,15.2
5.414,20.1,23.97,37.898,54.35409796,7
5.093,20.1,29.68,35.651,157.2216021,8.1
5.983,20.1,18.07,41.881,9.194597071,13.6
5.983,20.1,13.35,41.881,184.1558053,20.1
5.707,19.2,12.01,39.949,90.40671312,21.8
5.926,19.2,13.59,41.482,98.56482487,24.5
5.67,19.2,17.6,39.69,112.9828574,23.1
5.39,19.2,21.14,37.73,66.07859351,19.7
5.794,19.2,14.1,40.558,120.7815556,18.3
6.019,19.2,12.92,42.133,0.019847514,21.2
5.569,19.2,15.1,38.983,12.15404482,17.5
6.027,19.2,14.33,42.189,77.36201201,16.8
6.593,21,9.67,46.151,10.87899799,22.4
6.12,21,9.08,42.84,70.26643322,20.6
6.976,21,5.64,48.832,184.7970014,23.9
6.794,21,6.48,47.558,151.0029732,22
6.03,21,7.88,42.21,26.51047173,11.9
